"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Adrian Peterson","SEA","12","RB1","","1","1","","1","","1.0"
"2","Doug Martin","RB2","","2","2","","3","","2.3"
"3","Jamaal Charles","RB3","","4","5","","2","","3.5"
"4","Arian Foster","RB4","","5","3","","4","","4.0"
"5","C.J. Spiller","RB5","","3","7","","6","","5.3"
"6","Calvin Johnson","WR1","","7","4","","5","","6.0"
"7","Ray Rice","RB6","","8","8","","7","","7.3"
"8","LeSean McCoy","RB7","","6","10","","9","","8.0"
"9","Marshawn Lynch","RB8","","10","6","","8","","8.5"
"10","Trent Richardson","RB9","","9","9","","10","","9.3"
"11","Matt Forte","RB10","","11","12","","12","","11.5"
"12","Alfred Morris","NYG","9","RB11","","13","14","","11","","12.5"
"13","Dez Bryant","WR2","","12","13","","13","","12.8"
"14","A.J. Green","ARI","9","WR3","","14","11","","17","","14.0"
"15","Jimmy Graham","CHI","8","TE1","","15","17","","14","","15.8"
"16","Steven Jackson","RB12","","16","21","","16","","17.8"
"17","Brandon Marshall","WR4","","17","16","","19","","17.8"
"18","Chris Johnson","RB13","","18","18","","15","","18.0"
"19","Julio Jones","TEN","8","WR5","","20","19","","22","","20.3"
"20","Reggie Bush","RB14","","19","23","","18","","20.8"
"21","Aaron Rodgers","GB","4","QB1","","25","15","","32","","22.0"
"22","Drew Brees","QB2","","22","20","","31","","22.0"
"23","Demaryius Thomas","WR6","","21","22","","24","","22.3"
"24","Stevan Ridley","RB15","","23","28","","20","","23.8"
"25","Maurice Jones-Drew","RB16","","24","24","","21","","23.8"
"26","Larry Fitzgerald","WR7","","28","26","","27","","27.3"
"27","David Wilson","RB17","","29","34","","23","","27.8"
"28","DeMarco Murray","RB18","","27","32","","26","","29.8"
"29","Darren Sproles","RB19","","26","31","","28","","30.0"
"30","Andre Johnson","WR8","","32","25","","35","","30.3"
"31","Randall Cobb","GB","4","WR9","","31","29","","30","","30.3"
"32","Roddy White","WR10","","30","27","","36","","30.8"
"33","Frank Gore","RB20","","33","35","","25","","31.3"
"34","Victor Cruz","WR11","","34","30","","38","","33.8"
"35","Peyton Manning","QB3","","36","33","","40","","34.0"
"36","Vincent Jackson","WR12","","35","36","","39","","36.5"
"37","Rob Gronkowski","TB","5","TE2","","41","41","","34","","38.8"
"38","Darren McFadden","RB21","","37","38","","33","","39.0"
"39","Lamar Miller","RB22","","39","45","","29","","40.0"
"40","Wes Welker","WR13","","38","40","","48","","41.0"
