"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"2","Julio Jones","TEN","13","WR2","","","3","2","2","","2.3"
"3","Odell Beckham Jr.","LAR","8","WR3","","","2","3","3","","2.8"
"4","Todd Gurley II","RB1","","","6","4","4","","4.8"
"5","DeAndre Hopkins","ARI","9","WR4","","","5","5","6","","5.8"
"6","A.J. Green","ARI","9","WR5","","","4","9","5","","6.0"
"7","David Johnson","HOU","9","RB2","","","7","6","7","","6.0"
"8","Ezekiel Elliott","DAL","7","RB3","","","10","13","8","","9.8"
"9","Allen Robinson II","CHI","9","WR6","","","9","11","10","","9.8"
"10","Adrian Peterson","SEA","5","RB4","","","14","8","9","","10.8"
"11","Rob Gronkowski","TB","6","TE1","","","12","10","14","","11.5"
"12","Lamar Miller","RB5","","","11","14","11","","11.8"
"13","Le'Veon Bell","TB","6","RB6","","","16","7","12","","12.5"
"14","Dez Bryant","WR7","","","8","12","17","","12.5"
"15","Keenan Allen","LAC","","WR8","","","13","18","15","","15.0"
"16","Brandon Marshall","WR9","","","15","19","13","","15.8"
"17","Devonta Freeman","BAL","8","RB7","","","18","15","19","","17.5"
"18","Mike Evans","TB","6","WR10","","","17","22","16","","18.0"
"19","Jordy Nelson","WR11","","","20","17","18","","18.5"
"20","Alshon Jeffery","WR12","","","19","20","22","","20.3"
"21","Amari Cooper","DAL","7","WR13","","","22","21","20","","21.3"
"22","Jamaal Charles","RB8","","","21","16","27","","21.8"
"23","Brandin Cooks","HOU","9","WR14","","","23","25","23","","23.8"
"24","Mark Ingram II","NO","5","RB9","","","25","26","25","","24.3"
"25","Eddie Lacy","RB10","","","30","23","24","","25.8"
"26","LeSean McCoy","RB11","","","29","30","21","","26.3"
"27","T.Y. Hilton","IND","10","WR15","","","24","32","29","","28.0"
"28","Demaryius Thomas","WR16","","","27","24","30","","28.0"
"29","Sammy Watkins","BAL","8","WR17","","","26","31","28","","28.5"
"30","Doug Martin","RB12","","","32","27","31","","29.5"
"31","Jarvis Landry","CLE","13","WR18","","","28","28","26","","30.0"
"32","Jordan Reed","TE2","","","33","35","36","","33.5"
"33","Cam Newton","CAR","7","QB1","","","37","36","32","","34.3"
"34","C.J. Anderson","RB13","","","35","39","34","","35.3"
"35","Randall Cobb","GB","4","WR19","","","31","34","33","","36.5"
"36","Julian Edelman","WR20","","","39","29","35","","39.8"
"37","Matt Forte","RB14","","","48","33","44","","40.5"
"38","Aaron Rodgers","GB","4","QB2","","","47","42","38","","40.5"
"39","Latavius Murray","BAL","8","RB15","","","44","47","39","","41.0"
"40","Jeremy Maclin","WR21","","","34","41","40","","41.3"
"41","Thomas Rawls","RB16","","","46","40","42","","42.5"
"42","Carlos Hyde","JAC","5","RB17","","","42","44","48","","43.3"
"43","Greg Olsen","TE3","","","50","43","49","","44.5"
"44","DeMarco Murray","RB18","","","52","46","41","","45.0"
"45","Golden Tate","WR22","","","38","38","46","","45.3"
"46","Kelvin Benjamin","WR23","","","41","37","43","","46.3"
"47","Donte Moncrief","HOU","9","WR24","","","36","56","37","","46.5"
"48","Eric Decker","WR25","","","40","49","45","","49.0"
"49","Jeremy Langford","RB19","","","54","51","47","","49.5"
"50","Doug Baldwin","WR26","","","43","48","51","","51.8"
"51","Russell Wilson","SEA","5","QB3","","","63","55","53","","53.5"
"52","Andrew Luck","QB4","","","60","50","59","","53.5"
"53","Danny Woodhead","RB20","","","58","57","56","","55.8"
"54","Travis Kelce","KC","5","TE4","","","65","62","63","","57.5"
"55","Larry Fitzgerald","WR27","","","49","45","62","","57.5"
"56","Michael Floyd","WR28","","","45","59","55","","58.5"
"57","Jeremy Hill","RB21","","","61","65","50","","59.8"
"58","Jordan Matthews","SF","8","WR29","","","51","52","69","","60.8"
"59","Delanie Walker","TE5","","","73","64","66","","61.8"
