"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Christian McCaffrey","CAR","13 ","RB1","1","1","1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2","2","2","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","3","3","3","3","3.0"
"4","Derrick Henry","TEN","13","RB4","4","4","4","4","4","4","4.0"
"5","Ezekiel Elliott","DAL","7","RB5","8","5","6","5","5","5","5.8"
"6","Davante Adams","GB","13","WR1","5","6","5","6","6","10","6.6"
"7","Travis Kelce","KC","12","TE1","7","9","10","8","8","12","8.4"
"8","Aaron Jones","GB","13","RB6","10","11","7","10","9","11","9.4"
"9","Saquon Barkley","NYG","10","RB7","6","10","11","11","13","7","9.6"
"10","Austin Ekeler","LAC","7","RB8","13","8","12","12","7","13","10.4"
"11","Jonathan Taylor","IND","14","RB9","11","7","13","7","15","9","10.4"
"12","Nick Chubb","CLE","13","RB10","12","12","9","9","11","6","10.4"
"13","Tyreek Hill","KC","12","WR2","9","13","8","13","10","8","10.6"
"14","Stefon Diggs","BUF","7","WR3","14","14","14","14","14","15","14.0"
"15","Najee Harris","PIT","7","RB11","15","16","16","15","12","16","15.6"
"16","DeAndre Hopkins","ARI","12","WR4","17","19","18","17","17","17","17.2"
"17","Antonio Gibson","WAS","9","RB12","16","15","20","16","16","21","17.6"
"18","Patrick Mahomes II","KC","12","QB1","19","21","15","21","22","14","18.2"
"19","Calvin Ridley","ATL","6","WR5","20","18","19","18","18","19","18.4"
"20","D.K. Metcalf","SEA","9","WR6","18","20","17","20","19","18","18.8"
"21","Joe Mixon","CIN","10","RB13","24","17","21","19","20","20","20.8"
"22","Darren Waller","LV","8","TE2","21","22","22","23","23","26","22.4"
"23","Justin Jefferson","MIN","7","WR7","23","23","25","24","24","23","23.4"
"24","A.J. Brown","TEN","13","WR8","22","25","26","25","25","22","23.8"
"25","Clyde Edwards-Helaire","KC","12","RB14","26","24","24","22","21","25","24.2"
"26","George Kittle","SF","6","TE3","25","32","28","26","31","24","26.8"
"27","Keenan Allen","LAC","7","WR9","28","30","23","27","26","27","27.4"
"28","Terry McLaurin","WAS","9","WR10","27","27","32","30","30","29","29.6"
