"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes II","KC","QB","399.7","15","26.7"
"2","Christian McCaffrey","CAR","RB","380.5","15","25.4"
"3","Todd Gurley II","LAR","RB","372.1","14","26.6"
"4","Saquon Barkley","NYG","RB","361.6","15","24.1"
"5","Alvin Kamara","NO","RB","354.2","15","23.6"
"6","Davante Adams","GB","WR","329.6","15","22.0"
"7","Ezekiel Elliott","DAL","RB","329.2","15","22.0"
"8","Ben Roethlisberger","PIT","QB","328.2","15","21.9"
"9","Matt Ryan","ATL","QB","325.7","15","21.7"
"10","Antonio Brown","PIT","WR","323.7","15","21.6"
"11","Aaron Rodgers","GB","QB","311.5","15","20.8"
"12","Deshaun Watson","HOU","QB","309.9","15","20.7"
"13","Michael Thomas","NO","WR","307.6","15","20.5"
"14","DeAndre Hopkins","HOU","WR","306.8","15","20.5"
"15","Andrew Luck","IND","QB","305.0","15","20.3"
"16","Drew Brees","NO","QB","304.8","15","20.3"
"17","Adam Thielen","MIN","WR","300.6","15","20.0"
"18","Tyreek Hill","KC","WR","299.4","15","20.0"
"19","Julio Jones","ATL","WR","297.0","15","19.8"
"20","Russell Wilson","SEA","QB","291.5","15","19.4"
"21","Jared Goff","LAR","QB","286.3","15","19.1"
"22","Travis Kelce","KC","TE","283.4","15","18.9"
"23","Cam Newton","CAR","QB","282.6","14","20.2"
"24","JuJu Smith-Schuster","PIT","WR","282.2","15","18.8"
"25","Philip Rivers","LAC","QB","277.9","15","18.5"
"26","Zach Ertz","PHI","TE","275.8","15","18.4"
"27","Kirk Cousins","MIN","QB","273.1","15","18.2"
"28","James Conner","PIT","RB","267.6","12","22.3"
"29","Melvin Gordon III","LAC","RB","265.9","11","24.2"
"30","Robert Woods","LAR","WR","261.1","15","17.4"
"31","James White","NE","RB","259.7","15","17.3"
"32","Mike Evans","TB","WR","255.8","15","17.1"
"33","Tom Brady","NE","QB","255.4","15","17.0"
"34","Mitchell Trubisky","CHI","QB","252.8","13","19.5"
"35","Dak Prescott","DAL","QB","252.2","15","16.8"
"36","Keenan Allen","LAC","WR","249.7","14","17.8"
"37","Stefon Diggs","MIN","WR","247.6","14","17.7"
"38","David Johnson","ARI","RB","234.9","15","15.7"
"39","Joe Mixon","CIN","RB","231.7","13","17.8"
"40","T.Y. Hilton","IND","WR","230.9","13","17.8"
"41","Odell Beckham Jr.","NYG","WR","230.4","12","19.2"
"42","Kareem Hunt","KC","RB","230.2","11","20.9"
"43","George Kittle","SF","TE","228.8","15","15.3"
"44","Phillip Lindsay","DEN","RB","222.8","15","14.9"
"45","Tarik Cohen","CHI","RB","222.7","15","14.9"
"46","Eli Manning","NYG","QB","221.8","15","14.8"
"47","Tyler Boyd","CIN","WR","221.1","14","15.8"
"48","Brandin Cooks","LAR","WR","220.0","14","15.7"
"49","Baker Mayfield","CLE","QB","219.0","13","16.9"
"50","Derek Carr","OAK","QB","215.4","15","14.4"
"51","Amari Cooper","Multi","WR","209.3","14","15.0"
"52","Tyler Lockett","SEA","WR","207.5","15","13.8"
"53","Kenny Golladay","DET","WR","207.1","15","13.8"
"54","Eric Ebron","IND","TE","206.2","15","13.8"
"55","Case Keenum","DEN","QB","202.5","15","13.5"
"56","Emmanuel Sanders","DEN","WR","198.2","12","16.5"
"57","Jarvis Landry","CLE","WR","195.9","15","13.1"
"58","Matthew Stafford","DET","QB","193.7","15","12.9"
"59","Carson Wentz","PHI","QB","193.4","11","17.6"
"60","Calvin Ridley","ATL","WR","192.6","15","12.8"
"61","Kenyan Drake","MIA","RB","191.7","15","12.8"
"62","Nick Chubb","CLE","RB","190.5","15","12.7"
"63","Derrick Henry","TEN","RB","189.7","15","12.7"
"64","Adrian Peterson","WAS","RB","189.0","15","12.6"
"65","Jared Cook","OAK","TE","187.8","15","12.5"
"66","Julian Edelman","NE","WR","187.1","11","17.0"
"67","Chicago Bears","CHI","DST","183.0","15","12.2"
"68","Chris Carson","SEA","RB","181.5","13","14.0"
