"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Todd Gurley II","RB1","1","1","1","1","1","","1.0"
"2","Le'Veon Bell","TB","5 ","RB2","2","3","2","2","3","","2.4"
"3","David Johnson","HOU","10","RB3","3","2","3","3","2","","2.6"
"4","Ezekiel Elliott","DAL","8","RB4","4","4","4","4","4","","4.0"
"5","Antonio Brown","WR1","5","6","5","5","5","","5.2"
"6","Alvin Kamara","NO","6","RB5","7","5","7","6","6","","6.2"
"7","Saquon Barkley","NYG","9","RB6","6","7","6","7","7","","6.6"
"8","DeAndre Hopkins","ARI","9","WR2","9","10","8","8","9","","8.8"
"9","Leonard Fournette","TB","5","RB7","12","9","9","12","8","","10.0"
"10","Kareem Hunt","CLE","11","RB8","11","8","12","9","11","","10.2"
"11","dell Beckham Jr.","LAR","12 O","WR3","10","12","10","11","12","","11.0"
"12","Melvin Gordon III","DEN","10","RB9","14","11","11","10","10","","11.2"
"13","Julio Jones","TEN","8","WR4","8","14","14","13","14","","12.6"
"14","Dalvin Cook","MIN","10","RB10","13","15","13","15","15","","14.2"
"15","Christian McCaffrey","CAR","4","RB11","16","13","15","17","13","","14.8"
"16","Michael Thomas","NO","6","WR5","17","16","16","14","16","","15.8"
"17","Keenan Allen","LAC","8","WR6","15","17","17","16","17","","16.4"
"18","Davante Adams","GB","7","WR7","21","19","18","18","18","","18.8"
"19","Devonta Freeman","BAL","10","RB12","20","18","19","20","19","","19.2"
"20","A.J. Green","ARI","9 ","WR8","19","21","21","19","21","","20.2"
"21","Rob Gronkowski","TB","5","TE1","18","20","20","23","22","","20.6"
"22","Mike Evans","TB","5","WR9","23","24","23","21","26","","23.4"
"23","Jordan Howard","PHI","9","RB13","26","23","25","24","20","","23.6"
"24","Joe Mixon","CIN","9","RB14","27","22","22","25","23","","23.8"
"25","Travis Kelce","KC","12","TE2","25","26","27","26","29","","26.6"
"26","LeSean McCoy","RB15","24","28","30","22","30","","26.8"
"27","Tyreek Hill","KC","12","WR10","31","25","26","28","24","","26.8"
"28","Aaron Rodgers","GB","7","QB1","22","30","24","34","31","","28.2"
"29","T.Y. Hilton","IND","9","WR11","29","27","28","30","27","","28.2"
"30","Stefon Diggs","BUF","11","WR12","32","32","29","31","25","","29.8"
"31","Adam Thielen","MIN","10","WR13","34","29","34","27","35","","31.8"
"32","Larry Fitzgerald","WR14","30","37","33","32","36","","33.6"
"33","Kenyan Drake","LV","","RB16","35","31","37","35","34","","34.4"
"34","Amari Cooper","DAL","8","WR15","36","35","32","37","33","","34.6"
"35","Zach Ertz","ARI","9","TE3","33","34","36","33","39","","35.0"
"36","Doug Baldwin","WR16","39","39","40","29","38","","37.0"
"37","Alex Collins","SEA","7 ","RB17","43","33","38","41","32","","37.4"
"38","Jarvis Landry","CLE","11","WR17","40","36","31","45","40","","38.4"
"39","Royce Freeman","HOU","10","RB18","37","38","47","56","28","","41.2"
"40","Derrick Henry","TEN","8","RB19","42","41","50","36","42","","42.2"
"41","Demaryius Thomas ","WR18","38","45","46","38","49","","43.2"
"42","Jay Ajayi ","RB20","44","40","44","46","45","","43.8"
"43","JuJu Smith-Schuster","PIT","7","WR19","51","42","39","47","41","","44.0"
"44","Brandin Cooks","HOU","10","WR20","47","44","42","39","55","","45.4"
"45","Golden Tate","WR21","45","43","53","42","46","","45.8"
"46","Lamar Miller","RB21","57","46","45","49","37","","46.8"
"47","Tom Brady","TB","5","QB2","28","57","43","59","52","","47.8"
"48","Deshaun Watson","HOU","10","QB3","50","47","41","54","47","","47.8"
"49","Allen Robinson II","CHI","5","WR22","41","51","48","44","56","","48.0"
"50","Josh Gordon","KC","12 ","WR23","49","52","55","43","44","","48.6"
"51","Mark Ingram II","NO","6 ","RB22","60","48","57","48","48","","52.2"
"52","Russell Wilson","SEA","7","QB4","53","56","49","53","61","","54.4"
"53","Jimmy Graham","CHI","5","TE4","56","50","54","61","51","","54.4"
"54","Marvin Jones Jr.","JAC","9 ","WR24","55","53","52","51","63","","54.8"
"55","Chris Hogan","WR25","54","54","51","73","43","","55.0"
"56","Greg lsen O","TE5","48","58","56","62","58","","56.4"
"57","Dion Lewis","RB23","58","49","66","52","57","","56.4"
"58","Marshawn Lynch ","RB24","52","68","58","76","53","","61.4"
"59","Cam Newton","CAR","4 ","QB5","46","65","59","75","72","","63.4"
"60","Corey Davis","NYJ","11","WR26","70","60","61","65","62","","63.6"
"61","Carlos Hyde","JAC","9","RB25","75","59","72","69","54","","65.8"
"62","Michael Crabtree","WR27","61","71","69","58","73","","66.4"
"63","Evan Engram","NYG","9","TE6","62","75","64","60","71","","66.4"
"64","Marquise Goodwin","CHI","5","WR28","67","55","68","95","50","","67.0"
"65","Emmanuel Sanders","BUF","11 ","WR29","63","67","74","71","60","","67.0"
"66","Rex Burkhead","HOU","10","RB26","66","66","70","81","66","","69.8"
"67","Drew Brees","QB6","69","76","65","79","68","","71.4"
"68","Tevin Coleman","NYJ","11","RB27","72","69","75","64","79","","71.8"
"69","Julian Edelman ","WR30","91","70","67","66","67","","72.2"
"70","Alshon Jeffery","WR31","88","83","63","50","83","","73.4"
"71","Kyle Rudolph","NYG","9","TE7","71","81","79","78","77","","77.2"
"72","Kerryon Johnson ","RB28","107","72","60","86","64","","77.8"
"73","Jamaal Williams","DET","6","RB29","98","79","62","92","59","","78.0"
"74","Will Fuller V","MIA","11 ","WR32","92","63","90","80","74","","79.8"
"75","Sammy Watkins","BAL","10","WR33","74","94","73","63","97","","80.2"
"76","Carson Wentz","IND","9 ","QB7","73","88","77","77","91","","81.2"
"77","Robert Woods","LAR","12","WR34","64","93","81","68","106","","82.4"
"78","Sony Michel","LAR","12","RB30","125","77","71","57","84","","82.8"
"79","Devin Funchess","WR35","77","92","89","67","89","","82.8"
"80","Rashaad Penny","SEA","7","RB31","112","90","86","40","90","","83.6"
"81","Jordan Reed ","TE8","79","64","93","99","88","","84.6"
"82","Cooper Kupp","LAR","12 ","WR36","89","91","84","85","76","","85.0"
"83","Trey Burton ","TE9","111","82","80","90","65","","85.6"
"84","Tarik Cohen","CHI","5","RB32","105","84","83","70","86","","85.6"
"85","Duke Johnson Jr.","MIA","11","RB33","76","80","88","88","101","","86.6"
"86","Kirk Cousins","MIN","10","QB8","87","97","82","93","81","","88.0"
"87","Jamison Crowder","NYJ","11","WR37","102","74","100","84","82","","88.4"
"88","Robby Anderson","CAR","4","WR38","83","89","92","98","87","","89.8"
"89","Chris Carson","SEA","7","RB34","82","62","91","148","69","","90.4"
"90","Andrew Luck","QB9","81","95","85","114","85","","92.0"
"91","Pierre Garcon ","WR39","86","87","102","74","114","","92.6"
"92","Jordy Nelson","WR40","100","101","76","87","102","","93.2"
"93","Isaiah Crowell ","RB35","106","73","109","94","92","","94.8"
"94","Matthew Stafford","LAR","12","QB10","104","86","94","103","98","","97.0"
"95","Randall Cobb","GB","7","WR41","101","103","108","91","94","","99.4"
"96","Ben Roethlisberger","PIT","7","QB11","78","100","99","108","118","","100.6"
"97","Nelson Agholor","NE","11","WR42","110","104","107","96","93","","102.0"
"98","Marlon Mack","IND","9","RB36","153","98","95","83","95","","104.8"
"99","Jimmy Garoppolo","SF","11 ","QB12","108","109","104","102","103","","105.2"
